PUBUKPRN,PUBNAME,UKPRN,SUBNAME,KISCOURSEID,KISMODE,SBJ,KISAIMCODE,OUTCOME,REASON
10008455,Regent College London,10006841,University of Greater Manchester,ENG038-F-RGL-FX,01,CAH10-01-02,008,REMOVE,
10008455,Regent College London,10006841,University of Greater Manchester,ELR013-F-RGL-SX,01,CAH10-01-08,008,REMOVE,
10003956,Liverpool Hope University,10003956,Liverpool Hope University,KUZBAEAC4FF,01,CAH22-01-01,000,REMOVE,
10003956,Liverpool Hope University,10003956,Liverpool Hope University,KUZBAEDA4FF,01,CAH22-01-01,000,REMOVE,
10008455,Regent College London,10006841,University of Greater Manchester,ELR013-F-RGL-FX,01,CAH10-01-08,008,REMOVE,
10008455,Regent College London,10007843,"St Mary's University, Twickenham",FYL03LAWXSNGL,01,CAH16-01-01,039,REMOVE,
10008455,Regent College London,10006841,University of Greater Manchester,HLT029-F-RGL-FX,01,CAH15-04-03,021,REMOVE,
10003956,Liverpool Hope University,10003956,Liverpool Hope University,KUZBAEDAF,01,CAH22-01-01,000,REMOVE,
10008455,Regent College London,10008455,Regent College London,UGMBENGMED,01,CAH10-01-02,008,REMOVE,
10008455,Regent College London,10008455,Regent College London,UGMBENGMEFY,01,CAH10-01-02,008,REMOVE,
10008455,Regent College London,10006841,University of Greater Manchester,HLT029-F-RGL-SX,01,CAH15-04-03,021,REMOVE,
10008455,Regent College London,10008455,Regent College London,UOBBSCHSCD,01,CAH15-04-03,021,REMOVE,
10003956,Liverpool Hope University,10003956,Liverpool Hope University,KUZBAEACEDAF,01,CAH22-01-01,000,REMOVE,
10003956,Liverpool Hope University,10003128,Holy Cross College,KDFBAEDASENF,01,CAH22-01-01,000,REMOVE,
10008455,Regent College London,10006841,University of Greater Manchester,ENG038-F-RGL-SX,01,CAH10-01-02,008,REMOVE,
10008455,Regent College London,10008455,Regent College London,UGMBENGEEEFY,01,CAH10-01-08,008,REMOVE,
10008455,Regent College London,10008455,Regent College London,UGMBENGEEED,01,CAH10-01-08,008,REMOVE,
10008455,Regent College London,10008455,Regent College London,UGMLLB,01,CAH16-01-01,039,REMOVE,
10008455,Regent College London,10008455,Regent College London,UGMLLBFY,01,CAH16-01-01,039,REMOVE,
10003956,Liverpool Hope University,10003128,Holy Cross College,KDFBAEACSENF,01,CAH22-01-01,000,REMOVE,
10003956,Liverpool Hope University,10003956,Liverpool Hope University,KUZBAEACF,01,CAH22-01-01,000,REMOVE,
10008455,Regent College London,10008455,Regent College London,UOBBSHSCFY,01,CAH15-04-03,021,REMOVE,
10003956,Liverpool Hope University,10003128,Holy Cross College,KDFBAEACEDAF,01,CAH22-01-01,000,REMOVE,
10003956,Liverpool Hope University,10003956,Liverpool Hope University,KUZBAEACEDA4FF,01,CAH22-01-01,000,REMOVE,
